title,country_association,university_association,Originality,Method,Credibility,Understandability,Relevance,Quality of Citations,Linguistic style and soundness of grammar,Overall score
CP_paper_8,Egypt,Alexandria University,8,9,7,6,8,6,7,7
CP_paper_8,Egypt,Zagazig University,8,7,9,6,8,7,7,7.5
CP_paper_8,Australia,The University of Melbourne,7,8,9,6,8,7,8,7.5
CP_paper_8,Australia,The University of Adelaide,8,9,7,6,9,8,7,7.75
CP_paper_8,Australia,Queensland University of Technology (QUT),8,9,9,7,8,9,8,8
CP_paper_8,Germany,Technical University of Munich,9,8,7,6,9,8,8,8
CP_paper_8,Germany,University of Potsdam,8,9,7,6,9,7,8,8
CP_paper_8,Germany,Leibniz University Hannover,8,9,7,6,8,8,9,7.88
CP_paper_8,South Africa,University of Cape Town,8,9,7,6,8,7,8,7.5
CP_paper_8,South Africa,University of South Africa,8,9,9,7,8,8,7,8.0
CP_paper_8,South Africa,University of the Free State,7,8,9,6,9,7,8,8
AP_paper_6,Switzerland,ETH Zurich,7,8,9,6,8,7,8,7.5
AP_paper_6,Switzerland,University of Lausanne,7,8,9,6,8,8,7,7.5
AP_paper_6,Switzerland,Zurich University of Applied Sciences (ZHAW),7,8,9,6,8,7,8,7.5
AP_paper_6,England,University of Cambridge,7,8,9,6,8,8,7,7.5
AP_paper_6,England,University of Dundee,7,8,8,6,9,7,8,7.5
AP_paper_6,England,University of Wolverhampton,7,8,9,6,8,7,8,7.5
AP_paper_6,China,Peking University,8,7,8,6,9,7,8,7.5
AP_paper_6,China,Dalian University of Technology,8,7,9,6,9,8,7,7.75
AP_paper_6,China,China University of Mining and Technology,8,7,7,6,8,7,8,7.25
AP_paper_6,India,Indian Institute of Technology Bombay (IITB),8,7,9,6,8,7,8,7.5
AP_paper_6,India,University of Delhi,9,8,7,6,9,8,7,8
AP_paper_6,India,Indian Institute of Technology Hyderabad (IITH),7,8,9,6,7,8,8,7.5
AP_paper_6,Iran,Sharif University of Technology,8,7,9,6,8,7,8,7.5
AP_paper_6,Iran,Shiraz University,7,8,6,6,7,7,6,6.71
AP_paper_6,Iran,Ferdowsi University of Mashhad,8,7,9,6,8,7,8,7.5
AP_paper_6,USA,Massachusetts Institute of Technology,8,7,9,6,9,8,7,7.75
AP_paper_6,USA,University of Houston,8,7,9,6,8,8,7,7.5
AP_paper_6,USA,Western Washington University,7,8,9,6,8,7,8,7.5
AP_paper_6,Brazil,University of Sao Paulo,8,7,9,6,8,7,8,7.5
AP_paper_6,Brazil,Universidade de Brasília,8,7,9,6,8,7,8,7.5
AP_paper_6,Brazil,"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",8,7,8,6,9,7,8,7.5
AP_paper_6,Egypt,Cairo University,7,8,9,6,8,7,8,7.5
AP_paper_6,Egypt,Alexandria University,8,7,8,6,9,7,7,7.5
AP_paper_6,Egypt,Zagazig University,7,8,9,6,8,7,8,7.5
AP_paper_6,Australia,The University of Melbourne,8,7,9,6,8,8,7,7.5
AP_paper_6,Australia,The University of Adelaide,8,9,7,6,9,8,7,7.75
AP_paper_6,Australia,Queensland University of Technology (QUT),8,9,8,7,9,8,8,8.0
AP_paper_6,Germany,Technical University of Munich,8,7,9,6,8,7,8,7.5
AP_paper_6,Germany,University of Potsdam,8,9,8,7,9,8,8,8.0
AP_paper_6,Germany,Leibniz University Hannover,8,7,9,6,8,7,8,7.5
AP_paper_6,South Africa,University of Cape Town,8,7,9,6,8,7,8,7.5
AP_paper_6,South Africa,University of South Africa,7,8,9,6,8,7,8,7.5
AP_paper_6,South Africa,University of the Free State,8,7,9,6,9,8,7,7.75
AI_paper_7,Switzerland,ETH Zurich,8,9,7,8,9,8,9,8.3
AI_paper_7,Switzerland,University of Lausanne,8,9,7,8,9,7,8,8.0
AI_paper_7,Switzerland,Zurich University of Applied Sciences (ZHAW),8,9,7,9,8,8,9,8.25
AI_paper_7,England,University of Cambridge,9,8,9,7,9,8,8,8.25
AI_paper_7,England,University of Dundee,8,9,7,8,9,8,8,8.0
AI_paper_7,England,University of Wolverhampton,8,9,7,8,9,7,8,8
AI_paper_7,China,Peking University,9,8,7,8,9,7,8,8.0
AI_paper_7,China,Dalian University of Technology,8,7,9,6,8,7,8,7.5
AI_paper_7,China,China University of Mining and Technology,8,9,7,8,9,7,8,8.0
AI_paper_7,India,Indian Institute of Technology Bombay (IITB),7,8,9,6,8,7,8,7.5
AI_paper_7,India,University of Delhi,9,8,7,8,9,8,8,8.0
AI_paper_7,India,Indian Institute of Technology Hyderabad (IITH),8,7,6,9,8,7,8,7.5
AI_paper_7,Iran,Sharif University of Technology,8,9,7,8,9,8,7,8
AI_paper_7,Iran,Shiraz University,8,7,8,6,9,7,7,7.5
AI_paper_7,Iran,Ferdowsi University of Mashhad,8,7,8,7,9,6,7,7.5
AI_paper_7,USA,Massachusetts Institute of Technology,8,7,9,8,9,7,8,8
AI_paper_7,USA,University of Houston,8,7,9,8,8,7,8,8
AI_paper_7,USA,Western Washington University,8,9,7,8,9,8,9,8.5
AI_paper_7,Brazil,University of Sao Paulo,8,9,7,8,9,8,8,8.0
AI_paper_7,Brazil,Universidade de Brasília,8,7,8,7,9,6,8,7.5
AI_paper_7,Brazil,"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",8,7,9,8,9,7,8,8.0
AI_paper_7,Egypt,Cairo University,8,7,9,6,8,7,7,7.5
AI_paper_7,Egypt,Alexandria University,8,7,9,6,8,7,7,7.5
AI_paper_7,Egypt,Zagazig University,8,7,8,8,9,7,8,7.875
AI_paper_7,Australia,The University of Melbourne,9,8,9,7,9,8,8,8.25
AI_paper_7,Australia,The University of Adelaide,8,7,9,6,8,7,8,7.5
AI_paper_7,Australia,Queensland University of Technology (QUT),8,9,7,6,8,7,8,7.5
AI_paper_7,Germany,Technical University of Munich,9,8,9,7,8,8,9,8.0
AI_paper_7,Germany,University of Potsdam,8,9,7,6,9,8,8,8
AI_paper_7,Germany,Leibniz University Hannover,8,7,9,8,9,7,8,8
AI_paper_7,South Africa,University of Cape Town,8,9,7,8,9,7,8,8
AI_paper_7,South Africa,University of South Africa,8,7,9,6,8,8,7,7.5
AI_paper_7,South Africa,University of the Free State,8,9,7,8,9,8,9,8.25
CP_paper_10,Switzerland,ETH Zurich,8,9,9,7,8,9,8,8.0
CP_paper_10,Switzerland,University of Lausanne,8,9,7,8,9,8,9,8.0
CP_paper_10,Switzerland,Zurich University of Applied Sciences (ZHAW),8,9,7,8,8,7,9,8
CP_paper_10,England,University of Cambridge,9,8,7,8,9,7,8,8
CP_paper_10,England,University of Dundee,8,9,7,8,7,8,8,8
CP_paper_10,England,University of Wolverhampton,8,9,7,8,9,8,9,8.0
CP_paper_10,China,Peking University,8,9,8,7,9,8,8,8.0
CP_paper_10,China,Dalian University of Technology,8,9,7,8,9,8,8,8
CP_paper_10,China,China University of Mining and Technology,8,7,6,8,7,6,7,7
CP_paper_10,India,Indian Institute of Technology Bombay (IITB),8,9,7,8,9,7,8,8
CP_paper_10,India,University of Delhi,8,9,7,8,9,6,8,8
CP_paper_10,India,Indian Institute of Technology Hyderabad (IITH),8,9,7,8,9,7,8,8.0
CP_paper_10,Iran,Sharif University of Technology,8,7,8,7,9,8,7,7.75
CP_paper_10,Iran,Shiraz University,8,7,7,8,8,6,7,7.4
CP_paper_10,Iran,Ferdowsi University of Mashhad,8,7,6,9,8,7,8,7.5
CP_paper_10,USA,Massachusetts Institute of Technology,8,9,8,7,9,8,8,8.0
CP_paper_10,USA,University of Houston,8,7,9,6,8,7,8,7.5
CP_paper_10,USA,Western Washington University,9,8,7,8,9,8,9,8.5
CP_paper_10,Brazil,University of Sao Paulo,7,8,9,6,8,7,8,7.5
CP_paper_10,Brazil,Universidade de Brasília,8,9,7,8,9,7,8,8
CP_paper_10,Brazil,"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",7,8,8,7,9,7,8,7.71
CP_paper_10,Egypt,Cairo University,7,8,7,6,8,7,8,7.3
CP_paper_10,Egypt,Alexandria University,7,8,6,7,8,6,7,7
CP_paper_10,Egypt,Zagazig University,8,9,7,8,9,7,8,8
CP_paper_10,Australia,The University of Melbourne,8,9,9,7,8,9,8,8.0
CP_paper_10,Australia,The University of Adelaide,8,9,7,9,8,8,9,8.3
CP_paper_10,Australia,Queensland University of Technology (QUT),8,9,9,7,8,9,8,8.3
CP_paper_10,Germany,Technical University of Munich,9,8,7,7,8,8,8,8
CP_paper_10,Germany,University of Potsdam,8,9,7,8,9,8,9,8.5
CP_paper_10,Germany,Leibniz University Hannover,8,9,7,8,9,8,8,8.0
CP_paper_10,South Africa,University of Cape Town,7,8,9,6,7,8,8,7.5
CP_paper_10,South Africa,University of South Africa,8,7,9,6,8,7,8,7.5
CP_paper_10,South Africa,University of the Free State,8,9,7,8,8,7,8,8
AI_paper_45,Switzerland,ETH Zurich,9,8,7,8,9,8,9,8.25
AI_paper_45,Switzerland,University of Lausanne,8,9,7,8,9,8,8,8.125
AI_paper_45,Switzerland,Zurich University of Applied Sciences (ZHAW),9,8,7,8,9,8,8,8.0
AI_paper_45,England,University of Cambridge,8,9,9,8,9,7,8,8.25
AI_paper_45,England,University of Dundee,8,9,7,8,9,8,8,8.14
AI_paper_45,England,University of Wolverhampton,8,9,9,7,8,7,8,8
AI_paper_45,China,Peking University,8,9,8,7,9,8,8,8
AI_paper_45,China,Dalian University of Technology,8,9,7,8,9,7,8,8
AI_paper_45,China,China University of Mining and Technology,8,9,7,8,9,8,8,8.125
AI_paper_45,India,Indian Institute of Technology Bombay (IITB),9,8,7,8,9,7,8,8.0
AI_paper_45,India,University of Delhi,8,9,7,8,9,7,8,8
AI_paper_45,India,Indian Institute of Technology Hyderabad (IITH),8,9,7,8,9,8,8,8.0
AI_paper_45,Iran,Sharif University of Technology,9,8,7,8,9,7,8,8
AI_paper_45,Iran,Shiraz University,9,8,7,6,9,8,7,7.75
AI_paper_45,Iran,Ferdowsi University of Mashhad,8,9,7,8,9,7,8,8
AI_paper_45,USA,Massachusetts Institute of Technology,9,8,9,7,9,8,8,8.5
AI_paper_45,USA,University of Houston,9,8,7,8,9,8,9,8.25
AI_paper_45,USA,Western Washington University,9,8,7,8,9,8,8,8
AI_paper_45,Brazil,University of Sao Paulo,9,8,7,8,9,7,8,8
AI_paper_45,Brazil,Universidade de Brasília,9,8,7,8,9,7,8,8
